,name,votes,winner,win_difference
0,flora mid human transformation,6,False,0
3631,keith's turn to get dragon-ified. laura & natani enjoy the results.,6,False,0
7358,reni accidentally makes lt. reed a lynx keidran while keiren struggles to fight back his laughter.,6,False,0
1242,rick and morty: rick needs to steal the flawless mana crystal from clovis for one of his experiments.,6,False,0
12109,zen moon's clovis,6,False,0
1783,saria's ghost returns to gossip with flora about trace,6,False,0
8401,"twokinds history illustrated: sythe's first summer living in a human village, as he described in page 828.",6,False,0
7943,nora taking a bath in a chocolate fondue fountain. marshmallows on the side.,6,False,0
1814,duel between “pegleg” zen and diplomat sythe.,6,False,0
7073,"raine going through the collar training in full wolf form, sitting in a cute begging pose, flustered.",6,False,0
6303,"magic gone wrong: seraphina has become human, and sealeen and landen are adrakists!",6,False,0
9765,the quiet mekkan.  laura wakes up on the beach to a deserted world.,6,False,0
9044,wolf watchers (sequel to peeping squirrel) - zen and sythe attract a small crowd to secretly watch them bathe in the nude,6,False,0
1948,wolf red’s primal instincts kick in & he chases his tail,6,False,0
7338,natani getting cuddled between keith and femkeith,6,False,0
3911,adira cradling baby maeve shortly after giving birth,6,False,0
1973,nora & reni doing an air show,6,False,0
3763,snowball fight 2: reni tries to save kei from the snowball turned runaway snowboulder,6,False,0
3547,indiana raine whipping a crossbow out a guards hand.,6,False,0
3544,frankenstein monster escapes her creator and meets raine,6,False,0
6785,good morning tigress trace,6,False,0
2898,"nora messes w/ clovis some more, making an illusion of the daughter from his nightmare",6,False,0
3666,guy-to-girl night 3: the door to the bar opens to reveal raine’s “friend” turns out to just be little ol' nibbly.,6,False,0
3669,"embarrassed keith in a cute christmas dress, much to natani's amusement.",6,False,0
9456,literally seconds before it all began: grand templar trace tinkering with magic. an assistant warns him it could result in accidental memory loss and random teleportation. but that won't happen... right? ,6,False,0
9458,"nibbly realizes what's going on between maren and sythe, now nibbly tries get between them and stop them from engaging in an intimate moment.",6,False,0
3678,reni receives a magical artifact as a christmas gift from kei but it turns out to be a dud. ,6,False,0
3685,"madelyn, maeve, and karen all having a girls night out.",6,False,0
3640,"natani opens a gift containing some very small, frilly, lacy, clothing. keith swears its a mistake! (it's not)",6,False,0
2903,"backside comparison, sythe & zen w/ nibbly as judge.",6,False,0
2899,maren & raine express their true feelings for one another,6,False,0
3730,how alabaster stole christmas,6,False,0
1876,flora as a wwii ace next to a p-51 w/ the flying tiger mouth style finish on the nose.,6,False,0
2886,flora as a living plush,6,False,0
3691,"more of eric's twokinds: alaric's back, and has his eyes on gender bent keith",6,False,0
6846,west basitin kat & west basitin femkeith aggressively painting each other's bodies,6,False,0
1262,group a as a party from darkest dungeon,6,False,0
11120,modern au: laura helping a spooked kat beat a horror game late at night,6,False,0
11119,"thomas the tank engine version of characters.  trace the tank engine, zen and red as troublesome trucks, and natani the helicopter.",6,False,0
188,alaric,6,False,0
1835,nibbly rocking out to some metal. \m/,6,False,0
3578,"kat in a trooper uniform from starship troopers, standing at attention & saying ""i'm doing my part!""",6,False,0
9696,twokids: young trace and kid keith frolic outdoors with kitten flora and puptani.,6,False,0
2327,return of the main character from halfkind: tom's pre-comic before twokinds,6,False,0
6477,flora and kathrin as living plushes ,6,False,0
9877,mafia nat and zen are ordered to perform a hit on keith (member of flora and trace's gang) but things don't go as planned,6,False,0
9433,good news! clovis found a way to make sam a keidran again! less good news! he's still a cow... and a she.,6,False,0
6512,the templars attack the tiger village and the explorers must defend their new home - but are they equally committed?,6,False,0
3968,kat drawn as eevee and flora drawn as pikachu from let's go pokemon,6,False,0
11842,modern au reni and chimera hanging out at a cafe,6,False,0
7909,natani and keith sit in front of the burning fireplace in a log cabin in a snow-covered coniferous forest in canada. natani has her head on keith's shoulder.,6,False,0
9984,zen and kat are running away from a angry snowman that came to life after they used mana crystals as decoration.,6,False,0
11830,kris and susie from deltarune fell into the twokinds world,6,False,0
10021,good morning mike (male),6,False,0
10017,cute demon. shadow nibbs in anthro form.,6,False,0
8201,"kat shows off a new custom swimsuit conveniently framed by the beach, encouraged at eric’s seemingly overly enthusiastic reaction, not realizing the reason for his excitement is the 100 foot wave behind her rushing to shore",6,False,0
9978,zen daki,6,False,0
9946,keith and alaric’s duel in the style of a cheesy wild west standoff,6,False,0
399,"pixie panic aftermath 2: mike & evals, all dolled up.",6,False,0
3945,clovis is sold to eric who needed a new vixen to model for his art. he loses his temper due to eric's directions.,6,False,0
4009,"natani's magical chest wraps store, customers include fem-clovis and shiro from rascals",6,False,0
4013,"kat designs some clothes for magpie that actually fit, and tries on magpies outfit herself",6,False,0
9957,"young nora, naïve on intimacy, tries acting seductive but trips, with her 1st mate asking if she’s ok, offering to help her up.",6,False,0
9353,"couple retreat: keith and nat shocked to see king jade on the island with her new ""boyfriend"" ( a male dragon held against his will by king) maddie not sure how to react.",6,False,0
7550,laura possesses keith and plays around in his body as he gets flustered.,6,False,0
9283,modern au: keith takes laura to the gun range to test her gamer fps skills.,6,False,0
10459,ghost laura and brutus cheering on kat and rom as they fight,6,False,0
11910,white tigress adelaide ,6,False,0
7649,good morning adelaide...except she's embarrass cause she can't fit your human size bed.,6,False,0
4061,"a ""nora's victim support group"" informational pamphlet (have you been transformed the mischievous lady nora?)",6,False,0
9854,willow daki,6,False,0
9381,viking maeve ,6,False,0
9383,"windstraw enters a drinking competition to help the bar get more visitors, but gets drunk after one shot.",6,False,0
4027,"mike's a lucky fox this valentines day, thanks to nora working her magic on evalyn",6,False,0
10194,keith and natani cuddling in bed,6,False,0
317,what would we get if we but kathrin and zen go for a date?,6,False,0
10123,kat as a sexy femme fatale noir character… but it turns out shes's just fantasizing about the book she's reading,6,False,0
8974,"clovis scrooge is visited by laura, brutus, and nibbs as the ghosts of christmas past, present, and future.",6,False,0
7740,"euchre as merlin telling a young trace as arthur “if you think magic will solve all your problems, it won’t!” (disney’s sword in the stone reference)",6,False,0
6323,the solider from basitin flirting learning how to properly flirt with a basitin.,6,False,0
4097,karen finally gets to fondle basitin ears after transforming kat with magic ankle wraps.,6,False,0
10149,"flora gets a case of the zoomies in the middle of the night and as a result, trace looks like he hasn't slept in days. ",6,False,0
4076,"sequel to binding bargain. clovis tries to use magical bandages, but nora’s curse doesn't let him/her do it.",6,False,0
7768,portrait of cat nora (cat nora still shows her beauty in her portrait),6,False,0
323,"""bad pillow"" raine is sleeping on maren and karen is sleeping on raine's tail. according to page 968.",6,False,0
4087,captain raine makes clovis walk the plank.,6,False,0
9367,"the main four as survivors on a deserted island. trace is cooking fish and burning it, keith is trying to catch fish while flora attaches the fishing hook to his pants without him knowing, and natani is trying to murder a shark that tore off his chest bindings.",6,False,0
8231,"with the power out in their apartment, zen and raine light some candles and spend the time playing board games.",6,False,0
9915,human version of flora's sister ivy,6,False,0
9910,half-keidran raine meets human holo from the “spice and wolf”.,6,False,0
9400,twokinds high: mike is mistakenly issued a girls' uniform.,6,False,0
9928,"mike kisses evals who is reluctant at first, but then gets more into it (both male)",6,False,0
3979,mike laughing at fem-fox-keith for his “basitin black magic” backfiring on him,6,False,0
380,prom queen mike & prom king evals,6,False,0
7539,the older maeve in evening dress,6,False,0
10502,kathrin summons sealeen's love potion to save herself from romulus.,6,False,0
