,name,votes,winner,win_difference
0,flora mid human transformation,6,False,0
9214,"mike kisses evals who is reluctant at first, but then gets more into it (both male) ",8,False,0
9065,"keiren, in his lion keidran form, on a date with reni in her cat keidran form",1,False,0
11112,"tom on vacation, sunbathing at the seaside. behind him is flora about to dump a bucket of water over him and trace running to stop her.",23,False,0
11103,cat nora body pillow ,3,False,0
11104,zen and kat running away from a snowman they made that turns on them after they used mana crystals as decorations on it,2,False,0
11105,trace is asleep in bed with cat nora sleeping curled up on him. flora lurking in the background prepares to pounce on the fluffy intruder.,0,False,0
11106,"vv mike in pirate costume proves to be the better swashbuckler besting jenny in a duel, proclaiming, ""i'm the captain now.""",2,False,0
11107,"so, you just gave us a pov of nat pinning keith... so how about a pov of keith pinning nat?",2,False,0
11108,"prepare for boarding! captain jenny raids erik's ship, but he's too interested in painting her to be scared",2,False,0
11109,"natani, zen and keith as the spanish inquisition from monty python. nobody expects the spanish inquisition!",1,False,0
11110,"from normal schoolgirl to heroine, magical girl maeve!",3,False,0
11111,lynn writes down gossip from the main cast while lurking offscreen,1,False,0
11114,trace meets kaylia and mistakes this alternate reality proto-flora for the real flora somehow. kaylia is confused and flora is mad.,0,False,0
11078,"gender swap au: on the ship to the basitin isles, keith learns natani's secret",1,False,0
11115,willow body pillow,4,False,0
11116,a group of villagers and or trace scolding red for calling the chimera a monster.,4,False,0
11117,"prior to trace and the others showing up, a group of teens sneak into 'the creepy old house on the hill' as a dare, only for rose and the estate to mess with them.",4,False,0
11118,"after the encounter with red, raine finds the chimera in the bathroom",8,False,0
11119,"thomas the tank engine version of characters.  trace the tank engine, zen and red as troublesome trucks, and natani the helicopter.",6,False,0
11120,modern au: laura helping a spooked kat beat a horror game late at night,6,False,0
11121,"demon tiger trace 3: trace comes to his senses, and is filled with remorse after realizing he attacked his (unscathed) love, flora, who gladly comforts him",4,False,0
11122,"sequel to wolf mary: young mary silverlock gets caught by another templar in her keidran transformation while disrobed and feeling her fur. not being recognized and mistaken for an actual keidran, mary's kicked out before she can explain, left without clothes and unable to change back.",5,False,0
11123,redraw of sahra-ki (the scarred one) (au older flora),2,False,0
11102,sketch idea: she’s not a lady (redraw),0,False,0
11101,"zen and raine, sitting on a hood of a car in a drive in theater. sharing a tub of popcorn, and watching a cheesy monster movie.",9,False,0
11100,good morning adelaide ,16,False,0
11099,"reni version of doggy dragon, with a blushing reni wagging her tail and acting playful, quite involuntarily.",1,False,0
11080,sythe druid of the forest (with nibbly),31,True,0
11081,in the modern au:  zen and nat are racing each other on 4 wheel atvs with kat and keith hanging on for dear life.,5,False,0
11082,kat uses her capabilities as a seamstress to create and try out clothes on willow,3,False,0
11083,alternate scene of vv mike at the oasis with evals,2,False,0
11084,"willow lurking in a pond, her head half above the water and with a frog on her head, like a crocodile about to strike. she then leap-hugs the kat and laura staring at her before dragging them in.",0,False,0
11085,"super saiyan jade adelaide, plus a small panel with musclehead general and alaric commenting on her power level.",3,False,0
11086,raine (wolf form) on the beach getting frustrated with a bikini that somehow keeps falling off. a mischievous cat keidran nora in the background is responsible. ,13,False,0
11087,"maddie, karen and maeve brushing long haired kat and playing with her hair by putting accessories on it.",2,False,0
11088,"tk main four as the vault hunters from borderlands 3 (flora as moze, trace as fl4k, keith as zane, natani as amara)",5,False,0
11089,protoflora meets flora,20,False,0
11090,"au: kathrin and laura as ambassadors returned from the newly contacted human lands. they're giving a presentation on a baffling, yet intriguing human custom: clothing!",23,False,0
11091,young rom and rem grumble and complain about the new assassin brothers zen and natani taking their gimmick.,1,False,0
11092,hairstylist kat? ,0,False,0
11093,willow’s selfie 3: kat and laura try to cash in on the clout from willow’s selfie by doing a stream completely in the nude. ,2,False,0
11094,zen as loki the trickster god.,2,False,0
11095,the biological differences of mekkan's species.,7,False,0
11096,"modern au: willow, kathrin and laura went on a kiss concert. as real fans, they naturally wear similar makeup and outfits as the band members.",3,False,0
11097,eric reference sheet,9,False,0
11098,eric meets a lizard keidran and must paint them,4,False,0
11124,"reni, in her anthro form, tries to explain to nora that proportions affect balance. nora responds by bwoming reni, saying it's much more fun that way.",3,False,0
