,name,date,votes,all_votes,winner,win_difference
3999,cheetah keidran,2019-02-03 21:49:19.244231455+00:00,96,96,True,8
2664,daniels meeting therie's parents!,2018-06-17 20:39:02.714569657+00:00,92,92,True,31
477,"nibbly's bad fur day, because sythe tried to dry soaking wet nibbly with a hair dryer.",2017-06-18 21:01:54.182712289+00:00,90,90,True,10
305,"karen trying to learn magic, accidentally turning maren into a keidran",2017-05-21 21:12:45.581820782+00:00,88,88,True,15
2309,keidran tails: body language quick reference,2018-04-22 20:05:21.562154961+00:00,86,86,True,14
588,nibbly cornering a squirrelified sythe,2017-07-09 22:09:12.800429657+00:00,83,83,True,7
242,♂ to ♀ lineup b,2017-05-14 19:59:27.436873320+00:00,78,78,True,6
2470,"king adelaid's mid life crisis, the desire for another child! all males to vanish.",2018-05-13 21:09:28.715004127+00:00,76,76,True,3
1661,mrs. nibbly trying to solve a rubik's cube.,2018-01-14 21:04:37.546618818+00:00,76,76,True,7
1595,"a few of the off-set characters chat in the break room during ""filming"" of twokinds.",2018-01-07 21:31:03.954832693+00:00,76,76,True,11
494,the main group meeting their creator and both sides being confused,2017-06-18 22:38:32.212413682+00:00,74,74,True,9
2009,a secret kiss embrace between daniels & therie sah-van,2018-03-04 23:25:24.567696766+00:00,71,71,True,24
1618,"carver's wild teleport lands him in hot water... specifically, his boss's bath!",2018-01-07 22:52:19.948271102+00:00,68,68,True,9
873,keidran growth/age chart from infant to adult,2017-08-27 23:12:50.243073534+00:00,68,68,True,3
2530,unaware of his reputation adira commissions a portrait from eric,2018-05-20 21:10:33.311171021+00:00,67,67,True,18
3224,tom leaves eric in charge of art for a day. things get a bit weird ,2018-10-14 21:09:02.870503848+00:00,66,66,True,25
1683,sythe-o-vision: flortani’s child,2018-01-14 21:52:59.747359845+00:00,66,66,True,2
2891,snow leopard village ( before they lost their territory),2018-08-05 22:05:53.729460283+00:00,66,66,True,5
1800,keidran nibbly beckons sythe into bed,2018-02-04 22:21:09.452717121+00:00,65,65,True,8
3377,followup/aftermath of the body costume swap sketch.,2018-11-11 21:06:44.561135084+00:00,65,65,True,7
939,"maren + collar of keidranification, and sythe's reaction",2017-09-11 00:39:54.289772470+00:00,63,63,True,11
3925,the human girl researching the snow leopards gets turned into a snow leopard herself.,2019-01-14 00:54:11.721139011+00:00,62,62,True,3
1766,world building sketch: a fox keidran takes their young cub out fishing at sea.,2018-01-22 00:38:06.889946547+00:00,60,60,True,9
249,tom's tablet's funeral,2017-05-14 22:23:48.194370767+00:00,59,59,True,12
3997,how exactly did red get kicked out of the templar college?,2019-02-03 21:49:19.244231455+00:00,58,94,False,0
2621,"sealeen tries out a potion or keidranificaton she concocted, but it doesn't work quite right",2018-06-10 23:19:09.267466863+00:00,57,57,True,1
982,a human family adopts a stray puppy only to find out years later it was a keidran dog,2017-09-18 00:20:58.303190348+00:00,57,57,True,17
2960,snow leopard village 2: hot springs!,2018-08-12 21:52:09.793465860+00:00,57,57,True,1
1274,"pet daughter: the dad reintroduces her to the family ""our dog is now your sister""",2017-10-23 00:48:23.629941579+00:00,55,55,True,20
2171,therie & daniels find magical amulets that switch their races.,2018-03-19 01:17:20.668766821+00:00,55,55,True,16
4345,maren can’t get the image of stupid sexy sythe out of her head. it’s like he’s wearing nothing at all!,2019-03-11 00:06:33.421477754+00:00,55,74,False,0
2566,eric convinces iris and her friend to pose for a painting. (the tigresses from page 900),2018-05-20 23:58:00.342770164+00:00,54,54,True,5
4218,the whole gang in a storyboard room talking to each other figuring out what's gonna happen in the next comic,2019-03-03 21:56:58.442548813+00:00,54,84,False,0
1315,pet daughter 1.75: graduation,2017-11-05 22:28:49.338443329+00:00,53,94,False,0
2197,main characters as kids in a classroom,2018-04-08 20:25:59.081272032+00:00,53,76,False,0
918,another kind/species of keidran we haven't yet seen,2017-09-10 21:45:56.745981717+00:00,53,81,False,0
2805,adira bikini pinup,2018-07-15 20:05:08.221195054+00:00,53,76,False,0
2362,sketchception: tom live-streaming tom live-streaming tom live-streaming…,2018-04-22 23:54:33.127622235+00:00,53,53,True,9
3536,adventurer lady writing in her notebook while unconsciously nomming on the end of her new snow leopard tail.,2018-11-25 23:43:17.363533431+00:00,52,52,True,6
3007,everyone at a pool party!,2018-08-19 20:04:45.704316132+00:00,51,79,False,0
